CUST_NO,CALL_COUNT,MAIN_CATEGORY,SUB_CATEGORY,AVG_SENTIMENT_SCORE
1265731,1,經銷商問題,遠傳電信-電訪約裝,0.0
54643,1,網路連線問題,網路品質,0.0
886340,1,經銷商問題,遠傳電信-電訪約裝,0.0
1265838,1,經銷商問題,遠傳電信-電訪約裝,0.0
1148695,1,網路連線問題,連線其他相關問題,0.0
1265844,1,經銷商問題,台哥大-電訪約裝,0.0
1264454,1,網路連線問題,連線其他相關問題,0.0
991025,1,網路連線問題,連線其他相關問題,0.0
1044563,3,網路連線問題,無法上網,0.3333333333333333
952819,1,新產品,建議,-1.0
853195,1,新產品,建議,-1.0
1265540,1,經銷商問題,台哥大-電訪約裝,0.0
1254142,1,經銷商問題,台哥大-電訪約裝,0.0
1266603,1,經銷商問題,台哥大-電訪約裝,0.0
1265004,2,經銷商問題,網路品質,-0.5
1266552,2,經銷商問題,台哥大-電訪約裝,0.0
916645,3,帳務相關,拆機挽回,0.0
1143372,1,網路連線問題,無法上網,0.0
1266815,3,經銷商問題,遠傳電信-電訪約裝,0.0
127080,1,網路連線問題,無法上網,0.0
138473,1,帳務問題,服務異動,0.0
129672,1,網路連線問題,無法上網,-1.0
77702,3,帳務問題,服務異動,0.0
1184382,2,帳務問題,拆機挽回,-0.5
22176,1,網路連線問題,網路品質,1.0
955585,1,帳務問題,用戶復線,0.0
76669,2,網路連線問題,Cable modem連線,0.0
1198212,1,網路連線問題,無法上網,0.0
1186055,3,帳務問題,拆機挽回,-0.3333333333333333
24223,2,網路連線問題,無法上網,0.0
120059,3,帳務問題,繳費相關問題,-0.3333333333333333
687525,1,網路連線問題,無法上網,0.0
903532,2,網路連線問題,無法上網,0.0
843924,2,網路連線問題,無法上網,0.0
736362,3,非連線問題,升級換CM,-0.3333333333333333
1217742,1,經銷商問題,遠傳電信-人員進電,-1.0
1137435,1,網路連線問題,無法上網,0.0
832118,1,網路連線問題,網路品質,0.0
1265683,2,網路連線問題,無法上網,0.0
1216259,1,網路連線問題,無法上網,0.0
1266532,1,經銷商問題,遠傳電信-電訪約裝,0.0
1258535,2,帳務問題,無法上網,0.0
1221536,2,網路連線問題,Cable modem連線,-0.5
106983,1,帳務相關,拆機挽回,0.0
57522,1,帳務問題,繳費相關問題,0.0
1105983,1,帳務相關,拆機挽回,0.0
1071488,1,網路連線問題,無法上網,0.0
1013112,1,網路連線問題,無法上網,-1.0
129529,1,帳務相關,拆機挽回,0.0
857672,1,網路連線問題,無法上網,1.0
1156307,1,網路連線問題,網路品質,0.0
824461,1,網路連線問題,無法上網,0.0
698980,2,帳務相關,拆機挽回,-0.5
959483,1,網路連線問題,網路品質,0.0
1267064,1,經銷商問題,台哥大-電訪約裝,0.0
1249190,1,帳務相關,拆機挽回,0.0
1267069,1,經銷商問題,遠傳電信-電訪約裝,0.0
1267051,1,經銷商問題,遠傳電信-電訪約裝,0.0
1267059,1,經銷商問題,遠傳電信-電訪約裝,0.0
1267071,3,經銷商問題,遠傳電信-電訪約裝,0.0
1104268,1,網路連線問題,無法上網,0.0
1266520,1,經銷商問題,遠傳電信-電訪約裝,0.0
822307,1,網路連線問題,無法上網,0.0
682507,1,經銷商問題,台哥大-電訪約裝,0.0
1240097,1,網路連線問題,Cable modem連線,-1.0
1181797,1,網路連線問題,無法上網,0.0
1266998,1,經銷商問題,台哥大-電訪約裝,0.0
1185170,3,經銷商問題,台哥大-電訪約裝,0.0
1198923,3,網路連線問題,Cable modem連線,0.3333333333333333
1266388,2,經銷商問題,網路品質,0.0
1170963,1,網路連線問題,無法上網,0.0
147770,5,網路連線問題,無法上網,0.0
759361,1,網路連線問題,無法上網,1.0
1203298,3,網路連線問題,網路品質,0.3333333333333333
1107960,3,網路連線問題,網路品質,-0.6666666666666666
884322,1,網路連線問題,無法上網,0.0
1266665,3,經銷商問題,台哥大-人員進電,0.0
1266884,1,經銷商問題,台哥大-電訪約裝,0.0
875774,2,帳務相關,拆機挽回,0.0
1266576,3,經銷商問題,台哥大-電訪約裝,0.6666666666666666
1023289,1,帳務相關,拆機挽回,0.0
1266925,1,經銷商問題,台哥大-電訪約裝,0.0
1262119,1,網路連線問題,無法上網,0.0
1100964,1,經銷商問題,台哥大-電訪約裝,0.0
1185922,2,經銷商問題,台哥大-電訪約裝,0.0
1080814,2,非連線問題,固定Ip問題,0.0
928335,1,網路連線問題,網路品質,1.0
1267045,1,經銷商問題,台哥大-電訪約裝,0.0
1267052,1,經銷商問題,台哥大-電訪約裝,0.0
1179613,1,網路連線問題,網路品質,0.0
32658,1,網路連線問題,網路品質,0.0
980581,1,網路連線問題,無法上網,0.0
1093271,1,網路連線問題,無法上網,0.0
1265635,1,經銷商問題,台哥大-電訪約裝,0.0
1265976,1,經銷商問題,台哥大-電訪約裝,0.0
1047466,1,網路連線問題,無法上網,0.0
1266096,2,經銷商問題,台哥大-電訪約裝,0.0
886655,1,網路連線問題,網路品質,0.0
1265557,1,經銷商問題,台哥大-電訪約裝,0.0
1110817,1,註冊問題,mac 己被註冊,0.0
1265506,2,經銷商問題,台哥大-電訪約裝,0.0
1260757,1,註冊問題,mac 己被註冊,1.0
686585,1,帳務問題,用戶復線,0.0
1227754,1,網路連線問題,無法上網,0.0
1072505,1,帳務相關,拆機挽回,0.0
1051529,2,經銷商問題,台哥大-電訪約裝,0.5
1202492,1,網路連線問題,連線其他相關問題,-1.0
1265888,1,經銷商問題,台哥大-電訪約裝,0.0
1265900,1,經銷商問題,遠傳電信-電訪約裝,0.0
750398,2,經銷商問題,台哥大-電訪約裝,0.5
1181170,1,網路連線問題,Cable modem連線,-1.0
