CUST_NO,CALL_COUNT,MAIN_CATEGORY,SUB_CATEGORY,AVG_SENTIMENT_SCORE
792806,4,經銷商問題,台哥大-電訪約裝,-0.25
1013254,3,網路連線問題,無法上網,-0.3333333333333333
859567,1,帳務相關,拆機挽回,0.0
1230922,2,經銷商問題,遠傳電信-電訪約裝,0.0
1062508,2,網路連線問題,無法上網,-0.5
1230996,2,經銷商問題,遠傳電信-電訪約裝,0.0
1230965,2,經銷商問題,遠傳電信-人員進電,0.0
1230994,4,經銷商問題,遠傳電信-電訪約裝,0.25
1230995,1,經銷商問題,遠傳電信-電訪約裝,0.0
1231007,2,經銷商問題,遠傳電信-電訪約裝,0.5
1143404,1,網路連線問題,無法上網,-1.0
1026505,1,網路連線問題,無法上網,0.0
1165832,1,網路連線問題,Cable modem連線,0.0
1232081,2,經銷商問題,台哥大-人員進電,0.5
1125744,2,帳務問題,用戶要求優惠,0.5
991733,1,網路連線問題,無法上網,1.0
39234,2,帳務相關,拆機挽回,-0.5
1131816,2,網路連線問題,無法上網,0.0
603349,2,網路連線問題,無法上網,-1.0
699683,4,網路連線問題,無法上網,-0.75
150314,1,帳務相關,拆機挽回,-2.0
1232012,4,經銷商問題,遠傳電信-電訪約裝,0.0
1205009,1,網路連線問題,無法上網,-1.0
1157528,2,經銷商問題,台哥大-電訪約裝,0.0
1232485,2,經銷商問題,遠傳電信-電訪約裝,0.5
1232414,5,經銷商問題,台哥大-電訪約裝,-0.2
244630,3,帳務相關,拆機挽回,-1.0
1230714,7,經銷商問題,遠傳電信-電訪約裝,0.0
1232712,4,經銷商問題,遠傳電信-人員進電,0.25
922979,1,網路連線問題,無法上網,0.0
1127246,2,帳務問題,帳單/收據寄送問題,1.0
377783,4,網路連線問題,無法上網,-0.5
1152848,4,經銷商問題,台哥大-電訪約裝,0.0
1099414,2,帳務問題,方案異動CM轉EPON,0.0
1154555,1,帳務相關,拆機挽回,0.0
1230233,3,經銷商問題,台哥大-電訪約裝,0.6666666666666666
1229669,4,經銷商問題,台哥大-電訪約裝,0.25
1230272,8,經銷商問題,遠傳電信-人員進電,0.875
1229535,2,經銷商問題,台哥大-電訪約裝,0.5
1230378,3,經銷商問題,遠傳電信-電訪約裝,0.3333333333333333
1168971,1,網路連線問題,無法上網,0.0
1015047,2,網路連線問題,無法上網,0.5
1151925,2,經銷商問題,Cable modem連線,-0.5
1173596,4,網路連線問題,Cable modem連線,-0.25
1146820,2,網路連線問題,網路品質,0.5
853590,2,網路連線問題,無法上網,0.0
1216338,1,經銷商問題,遠傳電信-電訪約裝,0.0
779387,2,網路連線問題,無法上網,0.5
965654,1,網路連線問題,連線其他相關問題,0.0
