客編,平均繳款延遲日數,paytype_1,paytype_3,paytype_6,paytype_12,paytype_15,paytype_99,paymethod_APP臨櫃代收(7-11),paymethod_CVS臨櫃代收(7-11),paymethod_信用卡扣款,paymethod_其他繳款方式,paymethod_廠商代收,paymethod_當月繳帳單,paymethod_簡訊帳單臨櫃代收(7-11),paymethod_金融機構轉帳
106875,-6.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
610914,-11.333333333333334,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1069579,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0
847757,-34.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
375288,-24.6,0,0,0,0,0,1,0,0,0,0,0,0,1,0
59420,-29.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
534205,-21.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1093450,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
293706,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
541255,-43.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1014582,13.42,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1114686,-22.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
818895,-32.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
579290,-20.833333333333332,0,0,1,0,0,0,0,1,0,0,0,0,0,0
321031,13.42,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1128435,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
653004,-26.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
934107,-36.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
878873,-27.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
304272,-31.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
541868,-25.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
603349,-33.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
225735,-15.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
195356,13.42,0,0,0,0,0,1,0,1,0,0,0,0,0,0
306005,13.42,0,0,0,1,0,0,0,0,0,0,0,0,1,0
684513,-23.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
42994,-22.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1178890,7.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1069577,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1069578,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1069583,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0
564889,-27.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
863701,6.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
557622,-16.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
553342,-12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
225190,13.42,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1124221,26.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1131649,13.42,0,0,1,0,0,0,0,1,0,0,0,0,0,0
600246,13.42,0,0,1,0,0,0,0,1,0,0,0,0,0,0
189226,-8.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
281410,-35.833333333333336,0,0,1,0,0,0,0,0,0,0,0,0,1,0
815335,-6.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
