客編,平均繳款延遲日數,paytype_1,paytype_3,paytype_6,paytype_12,paytype_15,paytype_99,paymethod_APP臨櫃代收(7-11),paymethod_CVS臨櫃代收(7-11),paymethod_信用卡扣款,paymethod_其他繳款方式,paymethod_廠商代收,paymethod_當月繳帳單,paymethod_簡訊帳單臨櫃代收(7-11),paymethod_金融機構轉帳
1193724,5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
688875,2.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1195227,5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1194321,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
683815,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1196712,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
736369,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1194385,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1194887,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1194813,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1194091,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
720244,-2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1011656,-3.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1194975,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1150921,-7.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
688587,-15.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
112254,-26.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
861268,-38.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
884256,-30.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1163213,-42.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1152282,-25.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
479253,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1196297,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1195012,6.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
783908,-13.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1070699,-27.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
718456,-34.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1113233,-18.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1116909,-32.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1117067,-29.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
897799,-34.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
912666,-39.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1087855,-18.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
576921,-24.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1114267,-9.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
